article,target,link,link_position,link_page_rank,link_category
Isaac_Newton,Rainbow,Rainbow,0.4430379746835443,0.00014562502028726682,Geography
Isaac_Newton,Rainbow,Physics,0.02531645569620253,0.001365008043079134,Science
Light,Rainbow,Max_Planck,0.8961038961038961,0.00017479180859384784,People
Light,Rainbow,Max_Planck,0.8961038961038961,0.00017479180859384784,People
14th_century,Rainbow,Ibn_Battuta,0.8974358974358975,7.42630177895339e-05,People
14th_century,Rainbow,15th_century,0.02564102564102564,0.0009319474059595194,History
Time,Rainbow,Hinduism,0.7192982456140351,0.0011609554836108965,Religion
Time,Rainbow,Philosophy,0.15789473684210525,0.001503418889373253,Religion
14th_century,Rainbow,Italy,0.15384615384615385,0.003717238851113226,Geography
14th_century,Rainbow,Europe,0.20512820512820512,0.006339517036740152,Geography
15th_century,Rainbow,Art,0.6388888888888888,0.001041555691547956,Art
15th_century,Rainbow,16th_century,0.9166666666666666,0.001121480505845339,History
Plato,Rainbow,Egypt,0.3220338983050847,0.0024297054121889014,Countries
Plato,Rainbow,Political_philosophy,0.1864406779661017,0.00025991330694040985,Religion
Nature,Rainbow,Fishing,0.6923076923076923,0.0006733966983133623,Everyday
Nature,Rainbow,Sun,0.42857142857142855,0.0012060145762775721,Science
Ultraviolet,Rainbow,Chemistry,0.5263157894736842,0.0007843227717330281,Science
Ultraviolet,Rainbow,Earth%27s_atmosphere,0.8157894736842105,0.0011172529896653557,Geography
14th_century,Rainbow,Abacus,0.8205128205128205,0.00016508115746812993,Everyday
14th_century,Rainbow,India,0.05128205128205128,0.004035532403528955,Geography
Time,Rainbow,Egypt,0.2631578947368421,0.0024297054121889014,Countries
Time,Rainbow,Philosophy,0.15789473684210525,0.001503418889373253,Religion
Science,Rainbow,Sanskrit,0.1111111111111111,0.0008055654436304331,Language
Science,Rainbow,Universe,0.26666666666666666,0.0005540049158951407,Science
Nature,Rainbow,Art,0.8021978021978022,0.001041555691547956,Art
Nature,Rainbow,Plate_tectonics,0.18681318681318682,0.0005388980395104829,Geography
Weather,Rainbow,Wind,0.3888888888888889,0.00024227601212637215,Geography
Weather,Rainbow,Canada,0.8518518518518519,0.003434891665574223,Countries
Sun,Rainbow,South_America,0.75,0.0017262088424954856,Geography
Sun,Rainbow,Gold,0.3269230769230769,0.0012882844311029914,Science
Earth%27s_atmosphere,Rainbow,Ultraviolet,0.13333333333333333,0.0006580052325753555,Science
Earth%27s_atmosphere,Rainbow,Ozone,0.4444444444444444,0.0003191662203333854,Science
Ultraviolet,Rainbow,Ammonia,0.9210526315789473,0.0005753228322082617,Science
Ultraviolet,Rainbow,Sun,0.7894736842105263,0.0012060145762775721,Science
Color,Rainbow,Fruit,0.9130434782608695,0.0006420096031062133,Everyday
Color,Rainbow,Eye,0.8260869565217391,0.0004950237984933754,Science
14th_century,Rainbow,England,0.4358974358974359,0.0044740795759441645,Geography
14th_century,Rainbow,Islam,0.6153846153846154,0.002714755596324481,Religion
Christianity,Rainbow,Judaism,0.4117647058823529,0.0016252010252172273,Religion
Christianity,Rainbow,Byzantine_Empire,0.5294117647058824,0.0012918693799320255,History
Bible,Rainbow,Sweden,0.7647058823529411,0.0020564513148380813,Countries
Bible,Rainbow,Jew,0.38235294117647056,0.001957833941958966,Geography
God,Rainbow,China,0.7291666666666666,0.0035655542811307357,Countries
God,Rainbow,India,0.75,0.004035532403528955,Geography
Nature,Rainbow,Extinction,0.7252747252747253,0.00035253536854996183,Citizenship
Nature,Rainbow,John_Constable,0.7912087912087912,0.00011127205576893614,People
Earth%27s_atmosphere,Rainbow,Photosynthesis,0.8444444444444444,0.0007169274563173501,Science
Earth%27s_atmosphere,Rainbow,United_States,0.17777777777777778,0.009565545383105637,Geography
Ultraviolet,Rainbow,Metal,0.8421052631578947,0.0007682518356126562,Science
Ultraviolet,Rainbow,Genetics,0.6052631578947368,0.0006872050428384684,Science
Optical_fiber,Rainbow,Titanium,0.9,0.0002552892812397808,Science
Optical_fiber,Rainbow,Maxwell%27s_equations,0.5,0.0005164176887149142,Science
14th_century,Rainbow,Niger,0.6410256410256411,0.0003755362391470773,Countries
14th_century,Rainbow,Edward_III_of_England,0.28205128205128205,0.000254009711036871,History
Time,Rainbow,Clock,0.3333333333333333,0.00016547335426146608,Design
Time,Rainbow,Bible,0.6491228070175439,0.001213733694071212,Religion
Astronomy,Rainbow,Law,0.019417475728155338,0.0009543953448850352,Citizenship
Astronomy,Rainbow,Ultraviolet,0.5145631067961165,0.0006580052325753555,Science
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
14th_century,Rainbow,Pope,0.46153846153846156,0.0008099929275245692,Religion
Renaissance,Rainbow,John_Milton,0.8313253012048193,0.00021968435993212967,People
Renaissance,Rainbow,Michelangelo,0.9397590361445783,0.0002678270600922355,People
Empiricism,Rainbow,Nature,0.9629629629629629,0.0003857381616702423,Science
Empiricism,Rainbow,Bertrand_Russell,0.8518518518518519,0.0003325290002961818,People
Nature,Rainbow,Geology,0.04395604395604396,0.0007059623442478981,Geography
Nature,Rainbow,Energy,0.8791208791208791,0.0010511884271658697,Science
Weather,Rainbow,Summer,0.037037037037037035,0.00037798150667344555,Geography
Weather,Rainbow,Snow,0.16666666666666666,0.00044525895061866253,Geography
Sunlight,Rainbow,Natural_gas,0.4166666666666667,0.0009661636036072493,Science
Sunlight,Rainbow,Park,0.625,0.0001384508527362111,Everyday
Sun,Rainbow,Galaxy,0.3173076923076923,0.00023826875355523324,Science
Sun,Rainbow,Red_giant,0.41346153846153844,0.00010325067330193568,Science
14th_century,Rainbow,Washington%2C_D.C.,0.07692307692307693,0.001044735308233967,Geography
14th_century,Rainbow,Ibn_Battuta,0.8974358974358975,7.42630177895339e-05,People
Renaissance,Rainbow,Christianity,0.18072289156626506,0.003018040870366905,Religion
Renaissance,Rainbow,Religion,0.1566265060240964,0.0012993015579133205,Religion
Leonardo_da_Vinci,Rainbow,Milan,0.5428571428571428,0.0005575433060724511,Geography
Leonardo_da_Vinci,Rainbow,Istanbul,0.8142857142857143,0.0005284964040707579,Geography
Water,Rainbow,Netherlands,0.5301204819277109,0.002293931728974094,Countries
Water,Rainbow,Ocean,0.24096385542168675,0.0007448385538930184,Geography
Rain,Rainbow,Snow,0.0,0.00044525895061866253,Geography
Rain,Rainbow,Desert,0.13513513513513514,0.00048489316397563257,Geography
14th_century,Rainbow,Dark_Ages,0.6666666666666666,0.00031868710044187905,History
14th_century,Rainbow,Christianity,0.5128205128205128,0.003018040870366905,Religion
Renaissance,Rainbow,Niccol%C3%B2_Machiavelli,0.20481927710843373,0.00011194376865682922,People
Renaissance,Rainbow,Art,0.12048192771084337,0.001041555691547956,Art
Leonardo_da_Vinci,Rainbow,London,0.6,0.0030779602185074433,Geography
Leonardo_da_Vinci,Rainbow,Brain,0.7428571428571429,0.0004315583795318703,Science
14th_century,Rainbow,Renaissance,0.7948717948717948,0.001027839966330342,History
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
Europe,Rainbow,Africa,0.26865671641791045,0.003167721811701841,Geography
Europe,Rainbow,Norway,0.44989339019189767,0.001382200485511545,Geography
Europe,Rainbow,Lithuania,0.6886993603411514,0.0008065003768905574,Geography
Europe,Rainbow,Sarajevo,0.47121535181236673,0.00017642024272489652,Geography
Time,Rainbow,Big_Bang,0.7894736842105263,0.0003558746990654988,Science
Time,Rainbow,Astronomy,0.19298245614035087,0.0006489905987944056,Science
Physics,Rainbow,Plasma_%28physics%29,0.3838383838383838,0.00040063398013138514,Science
Physics,Rainbow,Phase_%28matter%29,0.4595959595959596,0.0010620361615043424,Science
14th_century,Rainbow,Poland,0.5641025641025641,0.0019072086603802566,Geography
14th_century,Rainbow,India,0.05128205128205128,0.004035532403528955,Geography
English_peasants%27_revolt_of_1381,Rainbow,England,0.0,0.0044740795759441645,Geography
English_peasants%27_revolt_of_1381,Rainbow,Richard_II_of_England,0.9090909090909091,0.00011219409574306799,History
Archbishop_of_Canterbury,Rainbow,British_monarchy,0.45454545454545453,0.00047678244851206996,Citizenship
Archbishop_of_Canterbury,Rainbow,Church_of_England,0.3333333333333333,0.0006105044395680961,Religion
19th_century,Rainbow,Southern_Africa,0.14705882352941177,0.0002772405373120031,Geography
19th_century,Rainbow,Tibet,0.47058823529411764,0.00045593640416459783,Countries
The_Origin_of_Species,Rainbow,Ape,0.7777777777777778,0.00010276384305088593,Science
The_Origin_of_Species,Rainbow,Religion,0.25925925925925924,0.0012993015579133205,Religion
Biology,Rainbow,Organism,0.22641509433962265,0.0008677830103916672,Science
Biology,Rainbow,Extinction,0.09433962264150944,0.00035253536854996183,Citizenship
Science,Rainbow,United_States,0.9777777777777777,0.009565545383105637,Geography
Science,Rainbow,Karl_Popper,0.8888888888888888,0.00024084925655089122,People
Physics,Rainbow,Momentum,0.2474747474747475,0.00031715571801751617,Science
Physics,Rainbow,18th_century,0.7474747474747475,0.0014853436436355705,History
14th_century,Rainbow,Niger,0.6410256410256411,0.0003755362391470773,Countries
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
India,Rainbow,Bah%C3%A1%27%C3%AD_Faith,0.8761904761904762,0.0005363040618224272,Religion
India,Rainbow,Cricket,0.9523809523809523,0.000640386608501303,Everyday
Rice,Rainbow,Plant,0.015625,0.0016127671680471597,Science
Rice,Rainbow,Flower,0.0546875,0.00048797209993605795,Science
Rain,Rainbow,Earth,0.05405405405405406,0.0023478726081676807,Science
Rain,Rainbow,Denmark,0.16216216216216217,0.0015980363092599752,Countries
Acid_rain,Rainbow,Smog,0.0967741935483871,0.00012592747117294903,Citizenship
Acid_rain,Rainbow,Cloud,0.25806451612903225,0.00021734478099829846,Geography
Cloud,Rainbow,Arctic,0.22727272727272727,0.0004810520851286978,Geography
Cloud,Rainbow,Earth%27s_atmosphere,0.18181818181818182,0.0011172529896653557,Geography
14th_century,Rainbow,England,0.3076923076923077,0.0044740795759441645,Geography
14th_century,Rainbow,13th_century,0.0,0.0007550953212296618,History
Time,Rainbow,Day,0.42105263157894735,0.0003704872572014587,Everyday
Time,Rainbow,Albert_Einstein,0.10526315789473684,0.0008437393800564723,People
Day,Rainbow,Time_zone,0.5238095238095238,0.0034658653495891,Geography
Day,Rainbow,Latin,0.047619047619047616,0.004423870040060783,Language
Sun,Rainbow,Ultraviolet,0.9615384615384616,0.0006580052325753555,Science
Sun,Rainbow,Binoculars,0.9711538461538461,0.0001049879753384375,Design
Sunlight,Rainbow,Sequoia,0.0,0.0001251675965544975,Science
Sunlight,Rainbow,Automobile,0.5,0.000707679009034749,Design
Ultraviolet,Rainbow,Insect,0.15789473684210525,0.0007600016632994777,Science
Ultraviolet,Rainbow,Retina,0.42105263157894735,0.00020586261111209993,Science
14th_century,Rainbow,Dark_Ages,0.6666666666666666,0.00031868710044187905,History
14th_century,Rainbow,Dark_Ages,0.6666666666666666,0.00031868710044187905,History
France,Rainbow,World_War_I,0.41509433962264153,0.0025604935990269926,History
France,Rainbow,Islam,0.8490566037735849,0.002714755596324481,Religion
World_War_II,Rainbow,Blitzkrieg,0.3423913043478261,0.00019477228721727434,History
World_War_II,Rainbow,Korea,0.9293478260869565,0.0006336974462048083,Countries
Nuclear_weapon,Rainbow,People%27s_Republic_of_China,0.21052631578947367,0.0022209466496507096,Countries
Nuclear_weapon,Rainbow,War,0.9649122807017544,0.000651234254598941,History
Neutron,Rainbow,Nuclear_weapon,0.5454545454545454,0.0006483600841997234,History
Neutron,Rainbow,Physics,0.06060606060606061,0.001365008043079134,Science
Physics,Rainbow,Schr%C3%B6dinger_equation,0.3282828282828283,0.00019078368256367792,Science
Physics,Rainbow,18th_century,0.5606060606060606,0.0014853436436355705,History
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
14th_century,Rainbow,Niger,0.6410256410256411,0.0003755362391470773,Countries
Christianity,Rainbow,4th_century,0.22058823529411764,0.0005737733878565045,History
Christianity,Rainbow,Paul_of_Tarsus,0.38235294117647056,0.00036225445871568605,People
Religion,Rainbow,Astrology,0.8823529411764706,0.00022777281282268316,Everyday
Religion,Rainbow,Latin,0.9294117647058824,0.004423870040060783,Language
Astrology,Rainbow,Geometry,0.3333333333333333,0.0004150811111984302,Mathematics
Astrology,Rainbow,Pluto,0.15789473684210525,0.000156286890924663,Science
Isaac_Newton,Rainbow,Charles_II_of_England,0.3670886075949367,0.00043193114467600656,People
Isaac_Newton,Rainbow,Sociology,0.9620253164556962,0.0003991629925690977,Citizenship
14th_century,Rainbow,Pope,0.46153846153846156,0.0008099929275245692,Religion
14th_century,Rainbow,Time,0.10256410256410256,0.0006287278756708051,Science
Time,Rainbow,Watch,0.38596491228070173,0.00011279334600636172,Design
Time,Rainbow,Quantity,0.5964912280701754,9.522549833252333e-05,Mathematics
14th_century,Rainbow,Poland,0.5641025641025641,0.0019072086603802566,Geography
14th_century,Rainbow,Aztec,0.23076923076923078,0.0002163936051717776,History
Time,Rainbow,Immanuel_Kant,0.07017543859649122,0.00041184066597926703,People
Time,Rainbow,Television,0.9473684210526315,0.0010744071062606401,Design
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
14th_century,Rainbow,China,0.38461538461538464,0.0035655542811307357,Countries
Renaissance,Rainbow,Politics,0.13253012048192772,0.0007078710696844471,Citizenship
Renaissance,Rainbow,Science,0.14457831325301204,0.0012923787440754099,Everyday
Art,Rainbow,Pablo_Picasso,0.2894736842105263,0.00020048264755597052,People
Art,Rainbow,Cubism,0.7894736842105263,0.00014724438701426015,Art
14th_century,Rainbow,Italy,0.15384615384615385,0.003717238851113226,Geography
14th_century,Rainbow,Renaissance,0.7948717948717948,0.001027839966330342,History
Singapore,Rainbow,South_Korea,0.6153846153846154,0.0009303638775620338,Geography
Singapore,Rainbow,Hinduism,0.8333333333333334,0.0011609554836108965,Religion
Fishing,Rainbow,Aquarium,0.875,0.00019141039103221769,Science
Fishing,Rainbow,Japan,0.8214285714285714,0.0038897636226420517,Geography
Ice,Rainbow,Ice,0.4074074074074074,0.00034624780487426527,Science
Ice,Rainbow,Earth%27s_atmosphere,0.2222222222222222,0.0011172529896653557,Geography
Climate,Rainbow,History,0.8,0.0007078767710745107,History
Climate,Rainbow,Sea,0.5,0.0005371572898212956,Geography
Weather,Rainbow,Plate_tectonics,0.6111111111111112,0.0005388980395104829,Geography
Weather,Rainbow,Ethiopia,0.8148148148148148,0.0006841216986535221,Countries
Sunlight,Rainbow,Ultraviolet,0.75,0.0006580052325753555,Science
Sunlight,Rainbow,Ultraviolet,0.875,0.0006580052325753555,Science
Ultraviolet,Rainbow,Genetics,0.6052631578947368,0.0006872050428384684,Science
Ultraviolet,Rainbow,Sun,0.7894736842105263,0.0012060145762775721,Science
14th_century,Rainbow,France,0.3333333333333333,0.006422591500548313,Geography
14th_century,Rainbow,England,0.3076923076923077,0.0044740795759441645,Geography
Time,Rainbow,Internet,0.9649122807017544,0.001009775418743336,Citizenship
Time,Rainbow,Big_Bang,0.8596491228070176,0.0003558746990654988,Science
14th_century,Rainbow,15th_century,0.02564102564102564,0.0009319474059595194,History
14th_century,Rainbow,Black_Death,0.358974358974359,0.0004164374335774445,History
Renaissance,Rainbow,Christianity,0.18072289156626506,0.003018040870366905,Religion
Renaissance,Rainbow,John_Calvin,0.6626506024096386,0.00019781781638921722,People
Science,Rainbow,Physics,0.4,0.001365008043079134,Science
Science,Rainbow,Technology,0.6222222222222222,0.0006535576350015429,Language
Physics,Rainbow,Technology,0.1111111111111111,0.0006535576350015429,Language
Physics,Rainbow,Applied_mathematics,0.5707070707070707,0.00012876685268130072,Mathematics
Isaac_Newton,Rainbow,Earth%27s_atmosphere,0.45569620253164556,0.0011172529896653557,Geography
Isaac_Newton,Rainbow,Johannes_Kepler,0.5316455696202531,0.00021247567307390453,People
14th_century,Rainbow,India,0.05128205128205128,0.004035532403528955,Geography
14th_century,Rainbow,Dante_Alighieri,0.8717948717948718,0.00031922820988831497,People
Time,Rainbow,Gottfried_Leibniz,0.5087719298245614,0.0003347420867938402,People
Time,Rainbow,Number,0.017543859649122806,0.000202800239177942,Mathematics
14th_century,Rainbow,Ottoman_Empire,0.1282051282051282,0.0013634348156279293,History
14th_century,Rainbow,Edward_III_of_England,0.9230769230769231,0.000254009711036871,History
Time,Rainbow,Technology,0.9298245614035088,0.0006535576350015429,Language
Time,Rainbow,Augustine_of_Hippo,0.6842105263157895,0.0004346253529666784,People
14th_century,Rainbow,Ming_Dynasty,0.41025641025641024,0.00035578776922805765,History
14th_century,Rainbow,Washington%2C_D.C.,0.07692307692307693,0.001044735308233967,Geography
Time,Rainbow,Gottfried_Leibniz,0.05263157894736842,0.0003347420867938402,People
Time,Rainbow,Plato,0.2982456140350877,0.0005701996151672547,People
Light,Rainbow,Euclid,0.45454545454545453,0.0003250849747076047,People
Light,Rainbow,Wave,0.07792207792207792,0.0003510572233525016,Science
14th_century,Rainbow,Europe,0.6923076923076923,0.006339517036740152,Geography
14th_century,Rainbow,Washington%2C_D.C.,0.07692307692307693,0.001044735308233967,Geography
Time,Rainbow,Rome,0.2807017543859649,0.0016191014281815323,Geography
Time,Rainbow,Big_Bang,0.7894736842105263,0.0003558746990654988,Science
Special_relativity,Rainbow,Electric_field,0.7222222222222222,0.000478566758459227,Science
Special_relativity,Rainbow,Speed_of_light,0.05555555555555555,0.0005533223907089323,Science
14th_century,Rainbow,Timur,0.9743589743589743,0.00018632954460811926,People
14th_century,Rainbow,Dark_Ages,0.6666666666666666,0.00031868710044187905,History
Time,Rainbow,Big_Bang,0.8596491228070176,0.0003558746990654988,Science
Time,Rainbow,Number,0.017543859649122806,0.000202800239177942,Mathematics
Egypt,Rainbow,English_language,0.5357142857142857,0.004864902024077606,Language
Egypt,Rainbow,Cold_War,0.45535714285714285,0.001199602472947153,History
Ancient_Egypt,Rainbow,Herodotus,0.3448275862068966,0.00039821117795767034,History
Ancient_Egypt,Rainbow,Egypt,0.12643678160919541,0.0024297054121889014,Countries
Glass,Rainbow,Color,0.32075471698113206,0.001148859400463297,Science
Glass,Rainbow,Integrated_circuit,0.1509433962264151,0.00028004523194631234,Science
Chromatic_aberration,Rainbow,Glass,0.5,0.0007337126159978614,Science
Chromatic_aberration,Rainbow,Photography,0.25,0.0002585263724924487,Art
14th_century,Rainbow,Christianity,0.5128205128205128,0.003018040870366905,Religion
14th_century,Rainbow,Abacus,0.8205128205128205,0.00016508115746812993,Everyday
Time,Rainbow,Special_relativity,0.12280701754385964,0.0003656257653460418,Science
Time,Rainbow,Transport,0.9824561403508771,0.0005973356387474691,Design
14th_century,Sodium,France,0.1794871794871795,0.006422591500548313,Geography
14th_century,Sodium,India,0.05128205128205128,0.004035532403528955,Geography
Ottoman_Empire,Sodium,Turkey,0.5413533834586466,0.001584009391722654,Geography
Ottoman_Empire,Sodium,Cyprus,0.5639097744360902,0.0006905944592884472,Countries
Atlantic_Ocean,Sodium,Cod,0.25477707006369427,0.00015462166428077147,Science
Atlantic_Ocean,Sodium,Nigeria,0.8853503184713376,0.0005962612849863196,Countries
Ocean,Sodium,Ship,0.7169811320754716,0.0003191369295355409,Design
Ocean,Sodium,Crustacean,0.6792452830188679,0.00023651954720932313,Science
14th_century,Sodium,Poland,0.7435897435897436,0.0019072086603802566,Geography
14th_century,Sodium,Time,0.10256410256410256,0.0006287278756708051,Science
15th_century,Sodium,3rd_century,0.75,0.00040533399506687115,History
15th_century,Sodium,Indian_Ocean,0.1111111111111111,0.0008774599880663065,Geography
16th_century,Sodium,Japan,0.21739130434782608,0.0038897636226420517,Geography
16th_century,Sodium,Germany,0.7652173913043478,0.004824150421324149,Geography
Science,Sodium,John_Locke,0.4888888888888889,0.00046839897906355383,People
Science,Sodium,Karl_Popper,0.8888888888888888,0.00024084925655089122,People
14th_century,Elizabeth_I_of_England,Pope,0.46153846153846156,0.0008099929275245692,Religion
14th_century,Elizabeth_I_of_England,Renaissance,0.7948717948717948,0.001027839966330342,History
England,Elizabeth_I_of_England,Lake_District,0.9625468164794008,0.00010515316881750739,Geography
England,Elizabeth_I_of_England,Rudyard_Kipling,0.5355805243445693,0.00011501593607219005,People
London,Elizabeth_I_of_England,England,0.06338028169014084,0.0044740795759441645,Geography
London,Elizabeth_I_of_England,World_War_II,0.18309859154929578,0.00472450366555719,History
Spanish_Armada,Elizabeth_I_of_England,England,0.3103448275862069,0.0044740795759441645,Geography
Spanish_Armada,Elizabeth_I_of_England,Mary_I_of_England,0.3793103448275862,0.0001734382090869823,History
England,Elizabeth_I_of_England,York,0.9812734082397003,0.00021324838488259612,Geography
England,Elizabeth_I_of_England,Spain,0.40823970037453183,0.003642312927537101,Countries
10th_century,Elizabeth_I_of_England,Poland,0.3333333333333333,0.0019072086603802566,Geography
10th_century,Elizabeth_I_of_England,Great_Moravia,0.4666666666666667,0.00013509495966230456,History
11th_century,Elizabeth_I_of_England,Domesday_Book,0.37037037037037035,0.00013366347751356746,History
11th_century,Elizabeth_I_of_England,Ghana,0.35185185185185186,0.0004766695272735753,Geography
12th_century,Elizabeth_I_of_England,16th_century,0.8867924528301887,0.001121480505845339,History
12th_century,Elizabeth_I_of_England,Richard_I_of_England,0.4528301886792453,0.00015048181337155012,People
13th_century,Elizabeth_I_of_England,14th_century,0.023809523809523808,0.0005956410374425819,History
13th_century,Elizabeth_I_of_England,Angola,0.7142857142857143,0.00048540292703266603,Geography
14th_century,Elizabeth_I_of_England,Lithuania,0.7692307692307693,0.0008065003768905574,Geography
14th_century,Elizabeth_I_of_England,Ming_Dynasty,0.41025641025641024,0.00035578776922805765,History
15th_century,Elizabeth_I_of_England,10th_century,0.8472222222222222,0.0006316136666710586,History
15th_century,Elizabeth_I_of_England,21st_century,0.9861111111111112,0.0004192036995439199,History
16th_century,Elizabeth_I_of_England,Roman_Catholic_Church,0.17391304347826086,0.002008939572147158,Religion
16th_century,Elizabeth_I_of_England,15th_century,0.0,0.0009319474059595194,History
14th_century,Elizabeth_I_of_England,Buddha,0.48717948717948717,0.0004096098462941367,People
14th_century,Elizabeth_I_of_England,Edward_III_of_England,0.9230769230769231,0.000254009711036871,History
England,Elizabeth_I_of_England,Rome,0.12359550561797752,0.0016191014281815323,Geography
England,Elizabeth_I_of_England,Commonwealth_Games,0.8838951310861424,0.00022287788487070583,Everyday
14th_century,Elizabeth_I_of_England,Niger,0.6410256410256411,0.0003755362391470773,Countries
14th_century,Elizabeth_I_of_England,Niger,0.6410256410256411,0.0003755362391470773,Countries
