article,target,link,link_position,link_page_rank,link_category
14th_century,African_slave_trade,Italy,0.15384615384615385,0.003717238851113226,Geography
14th_century,African_slave_trade,China,0.38461538461538464,0.0035655542811307357,Countries
15th_century,African_slave_trade,Henry_V_of_England,0.3888888888888889,0.00012018046248072438,History
15th_century,African_slave_trade,11th_century,0.8611111111111112,0.0005452171869657717,History
16th_century,African_slave_trade,Polish-Lithuanian_Commonwealth,0.24347826086956523,0.000299532481140729,History
16th_century,African_slave_trade,Roman_Catholic_Church,0.6173913043478261,0.002008939572147158,Religion
Pacific_Ocean,African_slave_trade,Samoa,0.3515625,0.00018247704865662,Countries
Pacific_Ocean,African_slave_trade,California,0.265625,0.0015359198258571532,Geography
Atlantic_Ocean,African_slave_trade,Chile,0.7133757961783439,0.0008352936631492306,Countries
Atlantic_Ocean,African_slave_trade,Pacific_Ocean,0.08280254777070063,0.0013627251215915866,Geography
Accra,African_slave_trade,Sweden,0.23529411764705882,0.0020564513148380813,Countries
Accra,African_slave_trade,17th_century,0.8823529411764706,0.0009784681374673191,History
Africa,African_slave_trade,Palm_oil,0.17357512953367876,0.00018110900439789973,Everyday
Africa,African_slave_trade,S%C3%A3o_Tom%C3%A9,0.8341968911917098,5.426382856543918e-05,Geography
14th_century,African_slave_trade,Washington%2C_D.C.,0.07692307692307693,0.001044735308233967,Geography
14th_century,African_slave_trade,Pope,0.46153846153846156,0.0008099929275245692,Religion
Europe,African_slave_trade,Belarus,0.3795309168443497,0.00047694790946826765,Countries
Europe,African_slave_trade,Vatican_City,0.9637526652452025,0.0006805954965723931,Geography
Africa,African_slave_trade,Richard_Francis_Burton,0.18652849740932642,9.339015217826249e-05,People
Africa,African_slave_trade,Civilization,0.14507772020725387,0.0005737815254997418,Citizenship
14th_century,African_slave_trade,Islam,0.6153846153846154,0.002714755596324481,Religion
14th_century,African_slave_trade,Singapore,0.5384615384615384,0.0007538790936522571,Geography
Niger,African_slave_trade,Iran,0.8,0.0015198053089064717,Countries
Niger,African_slave_trade,Gypsum,0.6,0.0002011552324695542,Geography
Nigeria,African_slave_trade,Christianity,0.8735632183908046,0.003018040870366905,Religion
Nigeria,African_slave_trade,Angola,0.42528735632183906,0.00048540292703266603,Geography
British_Empire,African_slave_trade,Napoleonic_Wars,0.30612244897959184,0.0005044059926376967,History
British_Empire,African_slave_trade,Mahatma_Gandhi,0.7551020408163265,0.0002724234771504422,People
Slavery,African_slave_trade,Goa,0.7142857142857143,0.0001832636204613258,Geography
Slavery,African_slave_trade,Aztec,0.24285714285714285,0.0002163936051717776,History
Africa,African_slave_trade,Benin,0.9119170984455959,0.0003066124410647309,Countries
Africa,African_slave_trade,Temperate,0.02072538860103627,0.0006260863789075064,Science
14th_century,Greece,15th_century,0.02564102564102564,0.0009319474059595194,History
14th_century,Greece,Ottoman_Empire,0.1282051282051282,0.0013634348156279293,History
Renaissance,Greece,Middle_Ages,0.3132530120481928,0.0021284751539196655,History
Renaissance,Greece,John_Milton,0.8313253012048193,0.00021968435993212967,People
14th_century,John_F._Kennedy,Niger,0.6410256410256411,0.0003755362391470773,Countries
14th_century,John_F._Kennedy,Christianity,0.5128205128205128,0.003018040870366905,Religion
Italy,John_F._Kennedy,20th_century,0.5041322314049587,0.0023615390664036124,History
Italy,John_F._Kennedy,Libya,0.9834710743801653,0.0006938136723566151,Countries
Roman_Catholic_Church,John_F._Kennedy,Nicolaus_Copernicus,0.6575342465753424,0.00021224341736933065,People
Roman_Catholic_Church,John_F._Kennedy,Augustine_of_Hippo,0.7945205479452054,0.0004346253529666784,People
HIV,John_F._Kennedy,United_States,0.3157894736842105,0.009565545383105637,Geography
HIV,John_F._Kennedy,Cameroon,0.6842105263157895,0.0005287069205614055,Geography
Ronald_Reagan,John_F._Kennedy,Panama_Canal,0.26865671641791045,0.00024516437671742334,Design
Ronald_Reagan,John_F._Kennedy,Coin,0.9104477611940298,0.0003590583408825603,Business
14th_century,John_F._Kennedy,France,0.3333333333333333,0.006422591500548313,Geography
14th_century,John_F._Kennedy,Edward_III_of_England,0.9230769230769231,0.000254009711036871,History
Europe,John_F._Kennedy,Ice_age,0.3368869936034115,0.0005992667560972932,Geography
Europe,John_F._Kennedy,European_Union,0.021321961620469083,0.002318582455038707,Citizenship
North_America,John_F._Kennedy,Panama_Canal,0.9478260869565217,0.00024516437671742334,Design
North_America,John_F._Kennedy,Cayman_Islands,0.591304347826087,0.00018315335842225428,Countries
United_States,John_F._Kennedy,Los_Angeles%2C_California,0.03938730853391685,0.00037391852258043606,Geography
United_States,John_F._Kennedy,World_Health_Organization,0.6477024070021882,0.00047698954547656445,Citizenship
14th_century,Fire,Lithuania,0.7692307692307693,0.0008065003768905574,Geography
14th_century,Fire,15th_century,0.02564102564102564,0.0009319474059595194,History
China,Fire,God,0.34814814814814815,0.0010926404270299543,Religion
China,Fire,Maya_civilization,0.1925925925925926,0.0002114461205393137,History
14th_century,Rainbow,Ibn_Battuta,0.8974358974358975,7.42630177895339e-05,People
14th_century,Rainbow,Time,0.10256410256410256,0.0006287278756708051,Science
Time,Rainbow,Science,0.14035087719298245,0.0012923787440754099,Everyday
Time,Rainbow,Light,0.8070175438596491,0.0008042394015504177,Science
